ObservationsStedNr;ObservationsStedNavn;AlternativStationsNr;X_UTM32;Y_UTM32;Længde;Bredde;Dato;UndersoegelsesNr;Parameter;Enhed;Prøvetagningsudstyr;Dybde (m);MålingX_UTM32;MalingY_UTM32;KorrektionsFaktor;OriginalResultat;KorrigeretResultat;QANiveau;Kvalitet
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Salinitet;promille;Ketcher;0.2;504653;6275294;1.0;6.3;6.3;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Salinitet;promille;Ketcher;1.0;504653;6275294;1.0;23.8;23.8;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Salinitet;promille;Ketcher;2.01;504653;6275294;1.0;23.8;23.8;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Salinitet;promille;Ketcher;3.0;504653;6275294;1.0;24.3;24.3;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Salinitet;promille;Ketcher;4.0;504653;6275294;1.0;25.5;25.5;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Salinitet;promille;Ketcher;4.51;504653;6275294;1.0;25.7;25.7;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygen indhold;mg/l;Ketcher;0.2;504653;6275294;1.0;13.47;13.47;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygen indhold;mg/l;Ketcher;1.0;504653;6275294;1.0;10.72;10.72;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygen indhold;mg/l;Ketcher;2.01;504653;6275294;1.0;10.63;10.63;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygen indhold;mg/l;Ketcher;3.0;504653;6275294;1.0;9.63;9.63;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygen indhold;mg/l;Ketcher;4.0;504653;6275294;1.0;5.49;5.49;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygen indhold;mg/l;Ketcher;4.51;504653;6275294;1.0;4.33;4.33;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygenmætning;pct;Ketcher;0.2;504653;6275294;1.0;95.0;95.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygenmætning;pct;Ketcher;1.0;504653;6275294;1.0;85.0;85.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygenmætning;pct;Ketcher;2.01;504653;6275294;1.0;85.0;85.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygenmætning;pct;Ketcher;3.0;504653;6275294;1.0;80.0;80.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygenmætning;pct;Ketcher;4.0;504653;6275294;1.0;46.0;46.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Oxygenmætning;pct;Ketcher;4.51;504653;6275294;1.0;37.0;37.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Temperatur;grader C;Ketcher;0.2;504653;6275294;1.0;-0.5;-0.5;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Temperatur;grader C;Ketcher;1.0;504653;6275294;1.0;-0.6;-0.6;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Temperatur;grader C;Ketcher;2.01;504653;6275294;1.0;-0.3;-0.3;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Temperatur;grader C;Ketcher;3.0;504653;6275294;1.0;1.0;1.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Temperatur;grader C;Ketcher;4.0;504653;6275294;1.0;1.0;1.0;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833000000001;56.62183003168;2010-01-12 00:00:00;1;Temperatur;grader C;Ketcher;4.51;504653;6275294;1.0;1.7;1.7;C, Faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;0.2;504653;6275182;1.0;0.24;0.24;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;0.37;504653;6275182;1.0;0.24;0.24;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;0.57;504653;6275182;1.0;0.73;0.73;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;0.76;504653;6275182;1.0;19.88;19.88;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;0.98;504653;6275182;1.0;22.16;22.16;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;1.17;504653;6275182;1.0;23.47;23.47;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;1.37;504653;6275182;1.0;23.8;23.8;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;1.56;504653;6275182;1.0;24.15;24.15;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;1.78;504653;6275182;1.0;24.95;24.95;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;1.97;504653;6275182;1.0;25.62;25.62;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;2.17;504653;6275182;1.0;25.79;25.79;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;2.36;504653;6275182;1.0;26.03;26.03;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;2.58;504653;6275182;1.0;26.36;26.36;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;2.77;504653;6275182;1.0;26.46;26.46;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;2.97;504653;6275182;1.0;26.61;26.61;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;3.16;504653;6275182;1.0;26.62;26.62;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;3.38;504653;6275182;1.0;26.65;26.65;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;3.57;504653;6275182;1.0;26.63;26.63;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;3.77;504653;6275182;1.0;26.68;26.68;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;3.96;504653;6275182;1.0;26.67;26.67;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Salinitet;promille;Ketcher;4.13;504653;6275182;1.0;26.68;26.68;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;0.2;504653;6275182;1.0;12.9;12.9;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;0.37;504653;6275182;1.0;12.8;12.8;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;0.57;504653;6275182;1.0;12.6;12.6;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;0.76;504653;6275182;1.0;11.1;11.1;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;0.98;504653;6275182;1.0;10.6;10.6;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;1.17;504653;6275182;1.0;10.2;10.2;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;1.37;504653;6275182;1.0;10.1;10.1;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;1.56;504653;6275182;1.0;10.3;10.3;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;1.78;504653;6275182;1.0;10.4;10.4;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;1.97;504653;6275182;1.0;10.0;10.0;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;2.17;504653;6275182;1.0;8.6;8.6;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;2.36;504653;6275182;1.0;5.9;5.9;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;2.58;504653;6275182;1.0;6.0;6.0;D, FDC faglig kontrol;Godkendt
93740007;VIB3727-00001;VIB3727-00001;504653;6275183;9.075833;56.62083003168142;2010-02-09 00:00:00;1;Oxygen indhold;mg/l;Ketcher;2.77;504653;6275182;1.0;6.8;6.8;D, FDC faglig kontrol;Godkendt
