DataLeverandørnavn;ObservationsStedNr;ObservationsStedNavn;Lokalitetsnavn;X_UTM32;Y_UTM32;Startdato;Startklok;Prøvetype;GennemsnitsDybde_m;Parameter;Enhed;Prøvefraktion;Resultat;ResultatAttribut;Oplukningskorrigeret;Kontrol;Kvalitet;Kvalitetsnote;time
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;1.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;170.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;1.0;Nitrit+nitrat-N;µg/l;Ej oplyst;580.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;1.0;Nitrogen,total N;µg/l;Ej oplyst;984.793177;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;1.0;Ortho-phosphat-P;µg/l;Ej oplyst;27.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;1.0;Phosphor, total-P;µg/l;Ej oplyst;44.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;1.0;Klorofyl a;µg/l;Ej oplyst;1.4;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;5.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;170.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;5.0;Nitrit+nitrat-N;µg/l;Ej oplyst;530.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;5.0;Nitrogen,total N;µg/l;Ej oplyst;949.2281617;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;5.0;Ortho-phosphat-P;µg/l;Ej oplyst;27.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
