time;Parameter;AverageValue;Layer
2010-01-12 17:30:00;Ammoniak+ammonium-N;170.0;Bottom
2010-01-12 17:30:00;Ammoniak+ammonium-N;170.0;Surface
2010-01-12 17:30:00;Klorofyl a;1.8;Bottom
2010-01-12 17:30:00;Klorofyl a;1.4;Surface
2010-01-12 17:30:00;Nitrit+nitrat-N;530.0;Bottom
2010-01-12 17:30:00;Nitrit+nitrat-N;580.0;Surface
2010-01-12 17:30:00;Nitrogen,total N;949.2281617;Bottom
2010-01-12 17:30:00;Nitrogen,total N;984.793177;Surface
2010-01-12 17:30:00;Ortho-phosphat-P;27.0;Bottom
2010-01-12 17:30:00;Ortho-phosphat-P;27.0;Surface
2010-01-12 17:30:00;Phosphor, total-P;52.0;Bottom
2010-01-12 17:30:00;Phosphor, total-P;44.0;Surface
2010-02-09 12:36:00;Ammoniak+ammonium-N;180.0;Bottom
2010-02-09 12:36:00;Ammoniak+ammonium-N;220.0;Surface
2010-02-09 12:36:00;Klorofyl a;0.3;Bottom
2010-02-09 12:36:00;Klorofyl a;1.4;Surface
2010-02-09 12:36:00;Nitrit+nitrat-N;520.0;Bottom
2010-02-09 12:36:00;Nitrit+nitrat-N;680.0;Surface
2010-02-09 12:36:00;Nitrogen,total N;909.7862328;Bottom
2010-02-09 12:36:00;Nitrogen,total N;1152.652459;Surface
2010-02-09 12:36:00;Ortho-phosphat-P;36.0;Bottom
2010-02-09 12:36:00;Ortho-phosphat-P;28.0;Surface
2010-02-09 12:36:00;Phosphor, total-P;50.0;Bottom
2010-02-09 12:36:00;Phosphor, total-P;43.0;Surface
2010-03-04 12:00:00;Ammoniak+ammonium-N;240.0;Bottom
2010-03-04 12:00:00;Ammoniak+ammonium-N;350.0;Surface
2010-03-04 12:00:00;Klorofyl a;0.3;Bottom
2010-03-04 12:00:00;Klorofyl a;1.5;Surface
2010-03-04 12:00:00;Nitrit+nitrat-N;520.0;Bottom
2010-03-04 12:00:00;Nitrit+nitrat-N;740.0;Surface
2010-03-04 12:00:00;Nitrogen,total N;941.586234;Bottom
2010-03-04 12:00:00;Nitrogen,total N;1217.815292;Surface
2010-03-04 12:00:00;Ortho-phosphat-P;44.0;Bottom
2010-03-04 12:00:00;Ortho-phosphat-P;35.0;Surface
2010-03-04 12:00:00;Phosphor, total-P;63.0;Bottom
2010-03-04 12:00:00;Phosphor, total-P;76.0;Surface
2010-03-09 10:11:00;Ammoniak+ammonium-N;250.0;Bottom
2010-03-09 10:11:00;Ammoniak+ammonium-N;430.0;Surface
2010-03-09 10:11:00;Klorofyl a;0.3;Bottom
2010-03-09 10:11:00;Klorofyl a;0.7;Surface
2010-03-09 10:11:00;Nitrit+nitrat-N;470.0;Bottom
2010-03-09 10:11:00;Nitrit+nitrat-N;820.0;Surface
2010-03-09 10:11:00;Nitrogen,total N;954.9939499;Bottom
2010-03-09 10:11:00;Nitrogen,total N;1417.48289;Surface
2010-03-09 10:11:00;Ortho-phosphat-P;47.0;Bottom
2010-03-09 10:11:00;Ortho-phosphat-P;36.0;Surface
2010-03-09 10:11:00;Oxygen indhold;4.8;Bottom
2010-03-09 10:11:00;Oxygen indhold;8.7;Surface
2010-03-09 10:11:00;Phosphor, total-P;62.0;Bottom
2010-03-09 10:11:00;Phosphor, total-P;60.0;Surface
2010-03-16 09:55:00;Ammoniak+ammonium-N;270.0;Bottom
2010-03-16 09:55:00;Ammoniak+ammonium-N;700.0;Surface
2010-03-16 09:55:00;Klorofyl a;0.5;Bottom
2010-03-16 09:55:00;Klorofyl a;3.5;Surface
2010-03-16 09:55:00;Nitrit+nitrat-N;500.0;Bottom
2010-03-16 09:55:00;Nitrit+nitrat-N;780.0;Surface
2010-03-16 09:55:00;Nitrogen,total N;967.4736689;Bottom
2010-03-16 09:55:00;Nitrogen,total N;1747.213256;Surface
2010-03-16 09:55:00;Ortho-phosphat-P;50.0;Bottom
2010-03-16 09:55:00;Ortho-phosphat-P;44.0;Surface
2010-03-16 09:55:00;Oxygen indhold;4.2;Bottom
2010-03-16 09:55:00;Oxygen indhold;5.6;Surface
2010-03-16 09:55:00;Phosphor, total-P;67.0;Bottom
2010-03-16 09:55:00;Phosphor, total-P;84.0;Surface
2010-03-29 09:32:00;Ammoniak+ammonium-N;210.0;Bottom
2010-03-29 09:32:00;Ammoniak+ammonium-N;250.0;Surface
2010-03-29 09:32:00;Klorofyl a;16.0;Bottom
2010-03-29 09:32:00;Klorofyl a;42.0;Surface
2010-03-29 09:32:00;Nitrit+nitrat-N;460.0;Bottom
2010-03-29 09:32:00;Nitrit+nitrat-N;430.0;Surface
2010-03-29 09:32:00;Nitrogen,total N;880.4146706;Bottom
2010-03-29 09:32:00;Nitrogen,total N;970.4663259;Surface
2010-03-29 09:32:00;Ortho-phosphat-P;27.0;Bottom
2010-03-29 09:32:00;Ortho-phosphat-P;7.2;Surface
2010-03-29 09:32:00;Oxygen indhold;9.3;Bottom
2010-03-29 09:32:00;Oxygen indhold;11.3;Surface
2010-03-29 09:32:00;Phosphor, total-P;63.0;Bottom
2010-03-29 09:32:00;Phosphor, total-P;82.0;Surface
2010-04-06 09:35:00;Ammoniak+ammonium-N;260.0;Bottom
2010-04-06 09:35:00;Ammoniak+ammonium-N;51.0;Surface
2010-04-06 09:35:00;Klorofyl a;31.0;Bottom
2010-04-06 09:35:00;Klorofyl a;18.0;Surface
2010-04-06 09:35:00;Nitrit+nitrat-N;430.0;Bottom
2010-04-06 09:35:00;Nitrit+nitrat-N;510.0;Surface
2010-04-06 09:35:00;Nitrogen,total N;1086.901101;Bottom
2010-04-06 09:35:00;Nitrogen,total N;904.0647962;Surface
2010-04-06 09:35:00;Ortho-phosphat-P;3.4;Bottom
2010-04-06 09:35:00;Ortho-phosphat-P;2.7;Surface
2010-04-06 09:35:00;Oxygen indhold;9.1;Bottom
2010-04-06 09:35:00;Oxygen indhold;11.9;Surface
2010-04-06 09:35:00;Phosphor, total-P;38.0;Bottom
2010-04-06 09:35:00;Phosphor, total-P;29.0;Surface
2010-04-12 09:34:00;Ammoniak+ammonium-N;140.0;Bottom
2010-04-12 09:34:00;Ammoniak+ammonium-N;130.0;Surface
2010-04-12 09:34:00;Klorofyl a;1.0;Bottom
2010-04-12 09:34:00;Klorofyl a;1.9;Surface
2010-04-12 09:34:00;Nitrit+nitrat-N;510.0;Bottom
2010-04-12 09:34:00;Nitrit+nitrat-N;520.0;Surface
2010-04-12 09:34:00;Nitrogen,total N;922.4293485;Bottom
2010-04-12 09:34:00;Nitrogen,total N;943.9788663;Surface
2010-04-12 09:34:00;Ortho-phosphat-P;4.2;Bottom
2010-04-12 09:34:00;Ortho-phosphat-P;3.3;Surface
2010-04-12 09:34:00;Oxygen indhold;10.0;Bottom
2010-04-12 09:34:00;Oxygen indhold;10.1;Surface
2010-04-12 09:34:00;Phosphor, total-P;28.0;Bottom
2010-04-12 09:34:00;Phosphor, total-P;31.0;Surface
2010-05-04 09:37:00;Ammoniak+ammonium-N;40.0;Bottom
2010-05-04 09:37:00;Ammoniak+ammonium-N;39.0;Surface
2010-05-04 09:37:00;Klorofyl a;6.1;Bottom
2010-05-04 09:37:00;Klorofyl a;5.9;Surface
2010-05-04 09:37:00;Nitrit+nitrat-N;380.0;Bottom
2010-05-04 09:37:00;Nitrit+nitrat-N;390.0;Surface
2010-05-04 09:37:00;Nitrogen,total N;772.4663419;Bottom
2010-05-04 09:37:00;Nitrogen,total N;755.1400667;Surface
2010-05-04 09:37:00;Ortho-phosphat-P;1.7;Bottom
2010-05-04 09:37:00;Ortho-phosphat-P;1.2;Surface
2010-05-04 09:37:00;Oxygen indhold;10.6;Surface
2010-05-04 09:37:00;Phosphor, total-P;25.0;Bottom
2010-05-04 09:37:00;Phosphor, total-P;24.0;Surface
2010-05-26 09:49:00;Ammoniak+ammonium-N;13.0;Bottom
2010-05-26 09:49:00;Ammoniak+ammonium-N;15.0;Surface
2010-05-26 09:49:00;Klorofyl a;3.4;Bottom
2010-05-26 09:49:00;Klorofyl a;3.4;Surface
2010-05-26 09:49:00;Nitrit+nitrat-N;250.0;Bottom
2010-05-26 09:49:00;Nitrit+nitrat-N;250.0;Surface
2010-05-26 09:49:00;Nitrogen,total N;614.0582322;Bottom
2010-05-26 09:49:00;Nitrogen,total N;600.2803342;Surface
2010-05-26 09:49:00;Ortho-phosphat-P;1.0;Bottom
2010-05-26 09:49:00;Ortho-phosphat-P;1.0;Surface
2010-05-26 09:49:00;Oxygen indhold;9.1;Surface
2010-05-26 09:49:00;Phosphor, total-P;22.0;Bottom
2010-05-26 09:49:00;Phosphor, total-P;23.0;Surface
2010-06-07 09:29:00;Ammoniak+ammonium-N;130.0;Bottom
2010-06-07 09:29:00;Ammoniak+ammonium-N;15.0;Surface
2010-06-07 09:29:00;Klorofyl a;1.3;Bottom
2010-06-07 09:29:00;Klorofyl a;12.0;Surface
2010-06-07 09:29:00;Nitrit+nitrat-N;130.0;Bottom
2010-06-07 09:29:00;Nitrit+nitrat-N;86.0;Surface
2010-06-07 09:29:00;Nitrogen,total N;671.826677;Bottom
2010-06-07 09:29:00;Nitrogen,total N;689.6061368;Surface
2010-06-07 09:29:00;Ortho-phosphat-P;7.6;Bottom
2010-06-07 09:29:00;Ortho-phosphat-P;1.0;Surface
2010-06-07 09:29:00;Oxygen indhold;6.0;Bottom
2010-06-07 09:29:00;Oxygen indhold;10.9;Surface
2010-06-07 09:29:00;Phosphor, total-P;25.0;Bottom
2010-06-07 09:29:00;Phosphor, total-P;31.0;Surface
2010-06-22 10:11:00;Ammoniak+ammonium-N;22.0;Bottom
2010-06-22 10:11:00;Ammoniak+ammonium-N;21.0;Surface
2010-06-22 10:11:00;Klorofyl a;4.2;Bottom
2010-06-22 10:11:00;Klorofyl a;3.9;Surface
2010-06-22 10:11:00;Nitrit+nitrat-N;11.0;Bottom
2010-06-22 10:11:00;Nitrit+nitrat-N;12.0;Surface
2010-06-22 10:11:00;Nitrogen,total N;526.7429766;Bottom
2010-06-22 10:11:00;Nitrogen,total N;554.9145377;Surface
2010-06-22 10:11:00;Ortho-phosphat-P;1.4;Bottom
2010-06-22 10:11:00;Ortho-phosphat-P;1.1;Surface
2010-06-22 10:11:00;Phosphor, total-P;28.0;Bottom
2010-06-22 10:11:00;Phosphor, total-P;26.0;Surface
2010-07-05 09:40:00;Ammoniak+ammonium-N;190.0;Bottom
2010-07-05 09:40:00;Ammoniak+ammonium-N;100.0;Surface
2010-07-05 09:40:00;Klorofyl a;1.7;Bottom
2010-07-05 09:40:00;Klorofyl a;5.5;Surface
2010-07-05 09:40:00;Nitrit+nitrat-N;22.0;Bottom
2010-07-05 09:40:00;Nitrit+nitrat-N;4.2;Surface
2010-07-05 09:40:00;Nitrogen,total N;529.3421736;Bottom
2010-07-05 09:40:00;Nitrogen,total N;479.4656933;Surface
2010-07-05 09:40:00;Ortho-phosphat-P;58.0;Bottom
2010-07-05 09:40:00;Ortho-phosphat-P;4.7;Surface
2010-07-05 09:40:00;Oxygen indhold;2.6;Bottom
2010-07-05 09:40:00;Oxygen indhold;11.1;Surface
2010-07-05 09:40:00;Phosphor, total-P;83.0;Bottom
2010-07-05 09:40:00;Phosphor, total-P;58.0;Surface
2010-07-20 10:12:00;Ammoniak+ammonium-N;230.0;Bottom
2010-07-20 10:12:00;Ammoniak+ammonium-N;3.0;Surface
2010-07-20 10:12:00;Klorofyl a;1.6;Bottom
2010-07-20 10:12:00;Klorofyl a;6.8;Surface
2010-07-20 10:12:00;Nitrit+nitrat-N;19.0;Bottom
2010-07-20 10:12:00;Nitrit+nitrat-N;1.5;Surface
2010-07-20 10:12:00;Nitrogen,total N;556.4086971;Bottom
2010-07-20 10:12:00;Nitrogen,total N;466.0899806;Surface
2010-07-20 10:12:00;Ortho-phosphat-P;87.0;Bottom
2010-07-20 10:12:00;Ortho-phosphat-P;31.0;Surface
2010-07-20 10:12:00;Oxygen indhold;4.3;Bottom
2010-07-20 10:12:00;Oxygen indhold;9.6;Surface
2010-07-20 10:12:00;Phosphor, total-P;110.0;Bottom
2010-07-20 10:12:00;Phosphor, total-P;84.0;Surface
2010-08-04 10:13:00;Ammoniak+ammonium-N;160.0;Bottom
2010-08-04 10:13:00;Ammoniak+ammonium-N;100.0;Surface
2010-08-04 10:13:00;Klorofyl a;4.5;Bottom
2010-08-04 10:13:00;Klorofyl a;6.8;Surface
2010-08-04 10:13:00;Nitrit+nitrat-N;36.0;Bottom
2010-08-04 10:13:00;Nitrit+nitrat-N;33.0;Surface
