datetime,day_of_year,Chlorophyll_a_ug_L,NH4_N_mg_L,NO3_N_mg_L,Phosphate_P_mg_L,DO_mg_L,TotalN_mg_L,TotalP_mg_L,Temperature_degC,Salinity_psu
2010-01-01 01:00,1,0.0109,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6826,27.7627
2010-01-01 02:00,1,0.0108,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6784,27.7623
2010-01-01 03:00,1,0.0108,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6638,27.7604
2010-01-01 04:00,1,0.0108,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6427,27.7581
2010-01-01 05:00,1,0.0108,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6296,27.7568
2010-01-01 06:00,1,0.0107,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.62,27.7559
2010-01-01 07:00,1,0.0107,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.6214,27.7559
2010-01-01 08:00,1,0.0106,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.6263,27.7558
2010-01-01 09:00,1,0.0106,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.632,27.7557
2010-01-01 10:00,1,0.0106,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6386,27.7556
2010-01-01 11:00,1,0.0109,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6393,27.7541
2010-01-01 12:00,1,0.0112,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6383,27.7506
2010-01-01 13:00,1,0.0115,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6336,27.7468
2010-01-01 14:00,1,0.0117,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6304,27.746
2010-01-01 15:00,1,0.0118,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6292,27.7461
2010-01-01 16:00,1,0.0117,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6278,27.7458
2010-01-01 17:00,1,0.0117,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6279,27.7449
2010-01-01 18:00,1,0.0116,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.628,27.7438
2010-01-01 19:00,1,0.0115,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6316,27.7424
2010-01-01 20:00,1,0.0114,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6397,27.7417
2010-01-01 21:00,1,0.0113,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6497,27.742
2010-01-01 22:00,1,0.0112,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6609,27.7425
2010-01-01 23:00,1,0.0111,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6707,27.7428
2010-01-02 00:00,2,0.011,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6783,27.7428
2010-01-02 01:00,2,0.0109,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6833,27.7418
2010-01-02 02:00,2,0.0109,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.686,27.7397
2010-01-02 03:00,2,0.0108,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6881,27.7376
2010-01-02 04:00,2,0.0108,0.0001,0.0005,0.0,0.007,0.0008,0.0,4.6891,27.7344
2010-01-02 05:00,2,0.0107,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6867,27.7284
2010-01-02 06:00,2,0.0107,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.679,27.7198
2010-01-02 07:00,2,0.0106,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6675,27.7104
2010-01-02 08:00,2,0.0106,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.6547,27.7018
2010-01-02 09:00,2,0.0106,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.6422,27.6939
2010-01-02 10:00,2,0.0105,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.6308,27.6866
2010-01-02 11:00,2,0.0105,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.62,27.6798
2010-01-02 12:00,2,0.0106,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6085,27.6732
2010-01-02 13:00,2,0.0106,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.5964,27.6671
2010-01-02 14:00,2,0.0106,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.5847,27.6624
2010-01-02 15:00,2,0.0105,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.5729,27.6584
2010-01-02 16:00,2,0.0104,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.559,27.6545
2010-01-02 17:00,2,0.0103,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.5414,27.6504
