datetime,day_of_year,Chlorophyll_a_ug_L,NH4_N_mg_L,NO3_N_mg_L,Phosphate_P_mg_L,DO_mg_L,TotalN_mg_L,TotalP_mg_L,Temperature_degC,Salinity_psu
2010-01-01 12:00,1,0.0112,0.0001,0.0005,0.0,0.0071,0.0008,0.0,4.6383,27.7506
2010-01-02 12:00,2,0.0106,0.0001,0.0005,0.0,0.0073,0.0008,0.0,4.6085,27.6732
2010-01-03 12:00,3,0.01,0.0001,0.0005,0.0,0.0072,0.0008,0.0,4.5059,27.6207
2010-01-04 12:00,4,0.0116,0.0001,0.0005,0.0,0.0065,0.0008,0.0,4.4792,27.5515
2010-01-05 12:00,5,0.0115,0.0001,0.0005,0.0,0.0065,0.0008,0.0,4.3378,27.4726
2010-01-06 12:00,6,0.0061,0.0,0.0004,0.0,0.0093,0.0006,0.0,3.0623,27.3549
2010-01-07 12:00,7,0.007,0.0,0.0005,0.0,0.0096,0.0007,0.0,2.2225,26.798
2010-01-08 12:00,8,0.0059,0.0001,0.0005,0.0,0.0085,0.0008,0.0,2.4504,26.7693
2010-01-09 12:00,9,0.0042,0.0001,0.0005,0.0,0.0078,0.0008,0.0,2.5721,26.8554
2010-01-10 12:00,10,0.0071,0.0,0.0006,0.0,0.0094,0.0008,0.0,1.6788,26.3425
2010-01-11 12:00,11,0.0081,0.0,0.0006,0.0,0.0106,0.0009,0.0,0.3185,25.9372
2010-01-12 12:00,12,0.0078,0.0001,0.0006,0.0,0.009,0.0009,0.0,1.4337,26.3522
2010-01-13 12:00,13,0.0078,0.0001,0.0006,0.0,0.0091,0.0009,0.0,1.0396,26.1974
2010-01-14 12:00,14,0.0067,0.0001,0.0007,0.0,0.01,0.001,0.0,-0.0196,25.5304
2010-01-15 12:00,15,0.0053,0.0001,0.0007,0.0,0.0095,0.001,0.0,-0.0194,25.4372
2010-01-16 12:00,16,0.0048,0.0001,0.0006,0.0,0.0093,0.001,0.0,0.1756,25.615
2010-01-17 12:00,17,0.004,0.0,0.0008,0.0,0.0116,0.001,0.0,-1.1634,24.8408
2010-01-18 12:00,18,0.0034,0.0,0.0005,0.0,0.0103,0.0007,0.0,0.4956,26.6998
2010-01-19 12:00,19,0.0033,0.0,0.0004,0.0,0.0098,0.0007,0.0,0.4975,27.0987
2010-01-20 12:00,20,0.0029,0.0,0.0004,0.0,0.0095,0.0006,0.0,0.5483,27.3102
2010-01-21 12:00,21,0.0034,0.0,0.0004,0.0,0.0099,0.0007,0.0,0.0835,27.1535
2010-01-22 12:00,22,0.0032,0.0001,0.0004,0.0,0.0094,0.0007,0.0,-0.0628,26.9687
2010-01-23 12:00,23,0.003,0.0001,0.0005,0.0,0.0091,0.0008,0.0,-0.0224,26.6806
2010-01-24 12:00,24,0.0029,0.0,0.0007,0.0,0.0111,0.0009,0.0,-1.116,25.6046
2010-01-25 12:00,25,0.0028,0.0,0.0006,0.0,0.011,0.0009,0.0,-1.0437,25.744
2010-01-26 12:00,26,0.0031,0.0001,0.0005,0.0,0.0088,0.0008,0.0,-0.5199,26.347
2010-01-27 12:00,27,0.0031,0.0001,0.0005,0.0,0.0085,0.0008,0.0,-0.478,26.5788
2010-01-28 12:00,28,0.0033,0.0001,0.0005,0.0,0.009,0.0008,0.0,-0.5446,26.4681
2010-01-29 12:00,29,0.0035,0.0001,0.0005,0.0,0.0081,0.0008,0.0,-0.5758,26.4687
2010-01-30 12:00,30,0.0049,0.0,0.0005,0.0,0.0096,0.0007,0.0,-0.5767,26.7645
2010-01-31 12:00,31,0.007,0.0,0.0005,0.0,0.0098,0.0007,0.0,-0.8389,26.6536
2010-02-01 12:00,32,0.0063,0.0001,0.0005,0.0,0.0096,0.0008,0.0,-0.85,26.5313
2010-02-02 12:00,33,0.006,0.0001,0.0005,0.0,0.0093,0.0008,0.0,-0.9107,26.4206
2010-02-03 12:00,34,0.0094,0.0001,0.0006,0.0,0.0094,0.0008,0.0,-0.9694,26.2126
2010-02-04 12:00,35,0.0077,0.0001,0.0006,0.0,0.0085,0.0009,0.0,-0.8755,26.2308
2010-02-05 12:00,36,0.0201,0.0001,0.0006,0.0,0.0095,0.0009,0.0,-1.0498,25.9594
2010-02-06 12:00,37,0.0309,0.0,0.0007,0.0,0.0118,0.001,0.0,-1.6462,24.7977
2010-02-07 12:00,38,0.0811,0.0,0.0006,0.0,0.011,0.0009,0.0,-1.3539,25.205
2010-02-08 12:00,39,0.0983,0.0001,0.0006,0.0,0.0104,0.0009,0.0,-1.2736,25.3311
2010-02-09 12:00,40,0.0734,0.0001,0.0006,0.0,0.0099,0.0009,0.0,-1.4354,25.3871
2010-02-10 12:00,41,0.0777,0.0001,0.0006,0.0,0.0096,0.0009,0.0,-1.2908,25.4782
2010-02-11 12:00,42,0.1063,0.0,0.0005,0.0,0.0098,0.0008,0.0,-0.9343,25.9296
2010-02-12 12:00,43,0.1042,0.0001,0.0006,0.0,0.0096,0.0008,0.0,-0.9188,25.8891
2010-02-13 12:00,44,0.1427,0.0,0.0005,0.0,0.0096,0.0008,0.0,-0.8934,25.9495
2010-02-14 12:00,45,0.1438,0.0001,0.0005,0.0,0.0094,0.0008,0.0,-0.8962,25.8419
2010-02-15 12:00,46,0.1098,0.0001,0.0006,0.0,0.0089,0.0009,0.0,-0.8876,25.6676
2010-02-16 12:00,47,0.1004,0.0001,0.0006,0.0,0.0088,0.0009,0.0,-0.9068,25.5575
2010-02-17 12:00,48,0.1269,0.0001,0.0006,0.0,0.0093,0.0009,0.0,-0.9298,25.3898
2010-02-18 12:00,49,0.1602,0.0,0.0007,0.0,0.0111,0.001,0.0,-1.2152,24.923
2010-02-19 12:00,50,0.316,0.0,0.0006,0.0,0.0105,0.0008,0.0,-0.9601,25.9277
2010-02-20 12:00,51,0.3219,0.0,0.0005,0.0,0.0103,0.0008,0.0,-0.9861,25.8947
2010-02-21 12:00,52,0.3255,0.0,0.0005,0.0,0.01,0.0008,0.0,-0.9564,26.0477
2010-02-22 12:00,53,0.3548,0.0,0.0005,0.0,0.0094,0.0008,0.0,-0.9492,25.8515
2010-02-23 12:00,54,0.3748,0.0001,0.0005,0.0,0.0094,0.0008,0.0,-0.9602,25.8692
2010-02-24 12:00,55,0.3734,0.0001,0.0006,0.0,0.0086,0.0008,0.0,-0.8771,25.7095
2010-02-25 12:00,56,0.3807,0.0001,0.0006,0.0,0.0091,0.0009,0.0,-0.8799,25.4263
2010-02-26 12:00,57,0.4258,0.0001,0.0006,0.0,0.0094,0.0009,0.0,-0.9878,25.23
2010-02-27 12:00,58,0.4728,0.0001,0.0006,0.0,0.0092,0.0009,0.0,-0.9712,25.2484
2010-02-28 12:00,59,0.4913,0.0001,0.0006,0.0,0.0087,0.0009,0.0,-0.9082,25.3386
2010-03-01 12:00,60,0.7094,0.0,0.0005,0.0,0.0103,0.0007,0.0,-0.9731,25.8276
2010-03-02 12:00,61,0.6567,0.0,0.0005,0.0,0.0099,0.0008,0.0,-0.9201,25.5497
2010-03-03 12:00,62,0.8275,0.0001,0.0006,0.0,0.0085,0.0009,0.0,-0.7653,25.1668
2010-03-04 12:00,63,1.1585,0.0001,0.0006,0.0,0.0087,0.0009,0.0,-0.6502,24.9884
2010-03-05 12:00,64,1.5472,0.0001,0.0006,0.0,0.0085,0.0009,0.0,-0.6182,24.9337
2010-03-06 12:00,65,1.9672,0.0,0.0006,0.0,0.0085,0.0009,0.0,-0.5454,24.9061
2010-03-07 12:00,66,2.6153,0.0001,0.0006,0.0,0.0081,0.0009,0.0,-0.5277,24.8597
2010-03-08 12:00,67,3.5213,0.0,0.0006,0.0,0.0085,0.001,0.0,-0.4119,24.7149
2010-03-09 12:00,68,4.7618,0.0,0.0006,0.0,0.0086,0.001,0.0,-0.3892,24.6852
2010-03-10 12:00,69,5.4099,0.0001,0.0006,0.0,0.0083,0.001,0.0,-0.3221,24.7943
2010-03-11 12:00,70,6.7281,0.0001,0.0006,0.0,0.0081,0.001,0.0,-0.2443,24.739
2010-03-12 12:00,71,7.0138,0.0001,0.0006,0.0,0.008,0.001,0.0,-0.1627,24.5965
2010-03-13 12:00,72,7.4712,0.0001,0.0006,0.0,0.0087,0.001,0.0,-0.0726,24.6489
2010-03-14 12:00,73,8.8089,0.0001,0.0007,0.0,0.0081,0.001,0.0,-0.0089,24.4629
2010-03-15 12:00,74,9.7762,0.0001,0.0007,0.0,0.0077,0.0011,0.0,0.0817,24.2925
2010-03-16 12:00,75,11.5438,0.0001,0.0007,0.0,0.0089,0.0011,0.0,0.1165,24.0271
2010-03-17 12:00,76,12.7344,0.0001,0.0007,0.0,0.0095,0.0011,0.0,0.1423,23.8465
2010-03-18 12:00,77,12.5292,0.0001,0.0007,0.0,0.0093,0.0011,0.0,0.1806,23.7624
2010-03-19 12:00,78,14.8749,0.0001,0.0007,0.0,0.0091,0.0011,0.0,0.156,23.6312
2010-03-20 12:00,79,17.0409,0.0001,0.0007,0.0,0.0088,0.0011,0.0,0.0844,23.5112
2010-03-21 12:00,80,15.3757,0.0001,0.0006,0.0,0.0081,0.0011,0.0,0.2241,23.6038
2010-03-22 12:00,81,14.6123,0.0001,0.0007,0.0,0.0078,0.0012,0.0,0.1598,23.3112
2010-03-23 12:00,82,13.8892,0.0001,0.0007,0.0,0.0071,0.0012,0.0,0.2808,23.428
2010-03-24 12:00,83,13.7928,0.0001,0.0007,0.0,0.0066,0.0012,0.0,0.3243,23.3081
2010-03-25 12:00,84,15.3032,0.0001,0.0004,0.0,0.0096,0.0008,0.0,0.0092,24.09
2010-03-26 12:00,85,15.4459,0.0001,0.0004,0.0,0.01,0.0007,0.0,0.0398,24.4659
2010-03-27 12:00,86,14.5495,0.0001,0.0004,0.0,0.0096,0.0007,0.0,0.0896,24.5754
2010-03-28 12:00,87,13.671,0.0001,0.0004,0.0,0.0087,0.0008,0.0,0.1996,24.559
2010-03-29 12:00,88,13.7349,0.0001,0.0004,0.0,0.0086,0.0008,0.0,0.3814,24.4249
2010-03-30 12:00,89,13.9316,0.0001,0.0004,0.0,0.0084,0.0008,0.0,0.5926,24.3738
2010-03-31 12:00,90,14.064,0.0001,0.0003,0.0,0.0098,0.0007,0.0,0.8409,24.5251
2010-04-01 12:00,91,13.1362,0.0001,0.0003,0.0,0.0093,0.0007,0.0,0.9184,24.5948
2010-04-02 12:00,92,13.3123,0.0001,0.0003,0.0,0.0088,0.0007,0.0,1.0412,24.4761
2010-04-03 12:00,93,12.5092,0.0001,0.0003,0.0,0.0083,0.0007,0.0,1.1203,24.6663
2010-04-04 12:00,94,15.7179,0.0001,0.0004,0.0,0.0104,0.0008,0.0,1.6485,23.9566
2010-04-05 12:00,95,10.14,0.0001,0.0003,0.0,0.0093,0.0006,0.0,1.5394,25.0628
2010-04-06 12:00,96,10.4812,0.0001,0.0003,0.0,0.0086,0.0007,0.0,1.7087,24.9154
2010-04-07 12:00,97,10.9311,0.0001,0.0003,0.0,0.0084,0.0007,0.0,1.979,24.9844
2010-04-08 12:00,98,8.9049,0.0001,0.0003,0.0,0.0089,0.0006,0.0,2.1334,25.2031
2010-04-09 12:00,99,11.1043,0.0001,0.0003,0.0,0.0083,0.0007,0.0,2.3455,25.0617
2010-04-10 12:00,100,15.4347,0.0001,0.0003,0.0,0.0074,0.0007,0.0,2.5681,24.7623
2010-04-11 12:00,101,12.2109,0.0001,0.0003,0.0,0.008,0.0007,0.0,2.9172,24.7526
2010-04-12 12:00,102,9.7997,0.0001,0.0003,0.0,0.0087,0.0006,0.0,3.0424,25.0354
2010-04-13 12:00,103,10.7229,0.0001,0.0003,0.0,0.0081,0.0007,0.0,3.2989,24.9275
2010-04-14 12:00,104,9.171,0.0001,0.0003,0.0,0.008,0.0006,0.0,3.6757,24.859
2010-04-15 12:00,105,11.3863,0.0001,0.0003,0.0,0.0078,0.0007,0.0,3.8601,24.7733
2010-04-16 12:00,106,15.0416,0.0001,0.0003,0.0,0.0072,0.0008,0.0,4.0774,24.5159
